Days Post Aphid Release,Round,Trt,PotID,Apterates,Alates
3,1,C,1,24,0
3,1,C,2,17,0
3,1,C,3,31,1
3,1,C,4,32,0
3,1,C,5,26,0
3,1,C,6,36,0
3,1,C,7,23,0
3,1,C,8,39,0
3,1,C,9,21,0
3,1,C,10,27,1
3,1,P,1,24,0
3,1,P,2,48,0
3,1,P,3,29,0
3,1,P,4,20,0
3,1,P,5,28,0
3,1,P,6,31,0
3,1,P,7,33,0
3,1,P,8,33,0
3,1,P,9,23,0
3,1,P,10,26,0
8,1,C,1,63,0
8,1,C,2,47,1
8,1,C,3,101,0
8,1,C,4,80,0
8,1,C,5,87,0
8,1,C,6,94,0
8,1,C,7,83,0
8,1,C,8,116,0
8,1,C,9,110,0
8,1,C,10,123,1
8,1,P,1,54,0
8,1,P,2,84,0
8,1,P,3,61,0
8,1,P,4,73,0
8,1,P,5,61,0
8,1,P,6,93,1
8,1,P,7,63,0
8,1,P,8,65,0
8,1,P,9,47,0
8,1,P,10,80,0
14,1,C,1,188,0
14,1,C,2,160,1
14,1,C,3,397,0
14,1,C,4,335,1
14,1,C,5,290,0
14,1,C,6,295,1
14,1,C,7,190,0
14,1,C,8,450,0
14,1,C,9,330,0
14,1,C,10,660,1
14,1,P,1,200,0
14,1,P,2,400,0
14,1,P,3,320,5
14,1,P,4,180,0
14,1,P,5,270,0
14,1,P,6,170,1
14,1,P,7,300,0
14,1,P,8,250,1
14,1,P,9,90,0
14,1,P,10,120,0
22,1,C,1,670,1
22,1,C,2,530,0
22,1,C,3,770,0
22,1,C,4,1170,8
22,1,C,5,1220,3
22,1,C,6,1060,8
22,1,C,7,1280,1
22,1,C,8,1910,6
22,1,C,9,1290,4
22,1,C,10,3420,20
22,1,P,1,960,0
22,1,P,2,1920,5
22,1,P,3,2320,11
22,1,P,4,850,6
22,1,P,5,1970,7
22,1,P,6,1470,13
22,1,P,7,1900,20
22,1,P,8,2150,4
22,1,P,9,750,3
22,1,P,10,930,2
8,2,C,1,64,0
8,2,C,2,85,0
8,2,C,3,81,0
8,2,C,4,72,0
8,2,C,5,103,0
8,2,C,6,56,0
8,2,C,7,65,0
8,2,C,8,42,0
8,2,C,9,70,0
8,2,P,1,67,0
8,2,P,2,40,0
8,2,P,3,35,0
8,2,P,4,59,0
8,2,P,5,52,0
8,2,P,6,47,0
8,2,P,7,78,0
8,2,P,8,33,0
8,2,P,9,57,0
14,2,C,1,179,0
14,2,C,2,235,0
14,2,C,3,186,0
14,2,C,4,110,0
14,2,C,5,170,0
14,2,C,6,115,0
14,2,C,7,118,0
14,2,C,8,135,0
14,2,C,9,152,0
14,2,P,1,245,0
14,2,P,2,113,0
14,2,P,3,67,0
14,2,P,4,210,0
14,2,P,5,70,0
14,2,P,6,130,0
14,2,P,7,281,0
14,2,P,8,59,0
14,2,P,9,180,0